old_url,old_path,old_status,new_url,new_path,new_status,match_type,notes
https://erazahan.info/eraza-icon/,/eraza-icon/,inherit,,,N/A,SPECIAL,"attachment (медиа-файл WordPress, отдельная страница-вложение)"
https://erazahan.info/erazahan-abba/erazahan-abba-2/,/erazahan-abba/erazahan-abba-2/,inherit,,,N/A,SPECIAL,"attachment (медиа-файл WordPress, отдельная страница-вложение)"
https://erazahan.info/abbaneri-xumb/erazahan-abbaneri-xumb/,/abbaneri-xumb/erazahan-abbaneri-xumb/,inherit,,,N/A,SPECIAL,"attachment (медиа-файл WordPress, отдельная страница-вложение)"
https://erazahan.info/abbajaran/erazahan-abbajaran-2/,/abbajaran/erazahan-abbajaran-2/,inherit,,,N/A,SPECIAL,"attachment (медиа-файл WordPress, отдельная страница-вложение)"
https://erazahan.info/erazahan-abbasuhi/erazahan-abbasuhi-2/,/erazahan-abbasuhi/erazahan-abbasuhi-2/,inherit,,,N/A,SPECIAL,"attachment (медиа-файл WordPress, отдельная страница-вложение)"
https://erazahan.info/abet-2/erazahan-abet-2/,/abet-2/erazahan-abet-2/,inherit,,,N/A,SPECIAL,"attachment (медиа-файл WordPress, отдельная страница-вложение)"
https://erazahan.info/abexa/erazahan-abexa-3/,/abexa/erazahan-abexa-3/,inherit,,,N/A,SPECIAL,"attachment (медиа-файл WordPress, отдельная страница-вложение)"
https://erazahan.info/erazahan-abort/erazahan-abort-3/,/erazahan-abort/erazahan-abort-3/,inherit,,,N/A,SPECIAL,"attachment (медиа-файл WordPress, отдельная страница-вложение)"
https://erazahan.info/erazahan-agah-mard/erazahan-agah-mard-2/,/erazahan-agah-mard/erazahan-agah-mard-2/,inherit,,,N/A,SPECIAL,"attachment (медиа-файл WordPress, отдельная страница-вложение)"
https://erazahan.info/erazahan-agarak/erazahan-agarak-2/,/erazahan-agarak/erazahan-agarak-2/,inherit,,,N/A,SPECIAL,"attachment (медиа-файл WordPress, отдельная страница-вложение)"
https://erazahan.info/erazahan-agrav-brnel/erazahan-agrav-brnel-2/,/erazahan-agrav-brnel/erazahan-agrav-brnel-2/,inherit,,,N/A,SPECIAL,"attachment (медиа-файл WordPress, отдельная страница-вложение)"
https://erazahan.info/agravner/erazahan-agravner-2/,/agravner/erazahan-agravner-2/,inherit,,,N/A,SPECIAL,"attachment (медиа-файл WordPress, отдельная страница-вложение)"
https://erazahan.info/erazahan-satkac-agrav/erazahan-satkac-agrav-2/,/erazahan-satkac-agrav/erazahan-satkac-agrav-2/,inherit,,,N/A,SPECIAL,"attachment (медиа-файл WordPress, отдельная страница-вложение)"
https://erazahan.info/erazahan-agravi-dzajn-lsel/erazahan-agravi-dzajn-lsel-2/,/erazahan-agravi-dzajn-lsel/erazahan-agravi-dzajn-lsel-2/,inherit,,,N/A,SPECIAL,"attachment (медиа-файл WordPress, отдельная страница-вложение)"
https://erazahan.info/erazahan-adamand/erazahan-adamand-2/,/erazahan-adamand/erazahan-adamand-2/,inherit,,,N/A,SPECIAL,"attachment (медиа-файл WordPress, отдельная страница-вложение)"
